timestamp,camera,session_key,total_copulation_s,total_pursuit_s,n_copulation_events,n_females_copulated,longest_copulation_s,longest_pursuit_s,time_first_copulation_s,time_first_persistent_pursuit_s,longest_any_s
2026-01-12T08_31_36,CamA,CamA_2026-01-12T08_31_36,1783.9749089675927,3979.981205555555,2,2,958.5788066898149,175.93250253703704,3387.1,,958.5788066898149
2026-01-12T10_46_09,CamA,CamA_2026-01-12T10_46_09,1189.9943805555556,8185.8780109490735,5,3,438.38126318981483,177.98249285648149,2074.6,,438.38126318981483
2026-01-12T13_04_58,CamA,CamA_2026-01-12T13_04_58,0.0,8363.327172990741,0,0,0.0,213.64899109722222,,,213.64899109722222
2026-01-12T15_31_08,CamA,CamA_2026-01-12T15_31_08,0.0,3887.2316435416665,0,0,0.0,281.4486709305556,,,281.4486709305556
2026-01-13T08_12_08,CamA,CamA_2026-01-13T08_12_08,1249.8940976944443,6057.988059365741,5,3,491.2976799722222,318.9484938472222,937.183,1635.367,491.2976799722222
2026-01-13T11_17_26,CamA,CamA_2026-01-13T11_17_26,2341.822274675926,5892.422174541666,4,3,1089.5781880787038,405.1814199675926,461.15,258.35,1089.5781880787038
2026-01-15T08_25_18,CamA,CamA_2026-01-15T08_25_18,410.9480594027778,3686.5992576435183,2,2,260.3821037453704,99.1328652037037,432.767,,260.3821037453704
2026-01-15T10_52_24,CamA,CamA_2026-01-15T10_52_24,0.0,3468.7669529675927,0,0,0.0,180.99914527777779,,,180.99914527777779
2026-01-15T13_40_51,CamA,CamA_2026-01-15T13_40_51,1028.7951417777779,6418.436357240741,4,2,619.213742587963,206.54902462500002,4492.566,,619.213742587963
2026-01-15T16_01_15,CamA,CamA_2026-01-15T16_01_15,1923.3909172777778,8476.876636782406,4,2,1001.4952706944445,1340.4103369212962,1372.383,562.067,1340.4103369212962
2026-01-12T08_31_36,CamB,CamB_2026-01-12T08_31_36,1378.6434897083334,5629.573415777777,6,4,518.880883050926,557.2973683055556,666.083,3049.133,557.2973683055556
2026-01-12T10_46_09,CamB,CamB_2026-01-12T10_46_09,567.7973187222223,5112.492524226852,2,2,375.4315604537037,239.3988695,1165.233,,375.4315604537037
2026-01-12T13_04_58,CamB,CamB_2026-01-12T13_04_58,995.7786310231481,3065.2521917962968,2,2,780.6463135972223,278.69868391666665,4900.133,,780.6463135972223
2026-01-12T15_31_08,CamB,CamB_2026-01-12T15_31_08,790.6962661388889,10741.28261037037,3,2,384.3981847777778,636.4303279537037,1229.0,2094.1,636.4303279537037
2026-01-13T08_12_08,CamB,CamB_2026-01-13T08_12_08,974.7120638379629,5229.458638550926,5,3,288.71530328240743,270.64872193055555,2342.867,,288.71530328240743
2026-01-13T11_17_26,CamB,CamB_2026-01-13T11_17_26,0.0,4914.59345875463,0,0,0.0,275.3986995,,,275.3986995
2026-01-15T08_25_18,CamB,CamB_2026-01-15T08_25_18,128.99939083333334,6520.652541217593,1,1,128.99939083333334,214.1989885,5123.25,,214.1989885
2026-01-15T10_52_24,CamB,CamB_2026-01-15T10_52_24,0.0,3504.516784148148,0,0,0.0,66.11635444907408,,,66.11635444907408
2026-01-15T13_40_51,CamB,CamB_2026-01-15T13_40_51,0.0,7905.562668,0,0,0.0,390.1981573888889,,4639.85,390.1981573888889
2026-01-15T16_01_15,CamB,CamB_2026-01-15T16_01_15,1584.9925152777778,5033.2595650509265,2,1,846.0460047638888,320.48181993981484,1028.9,3173.983,846.0460047638888
