dataset,genotype,camera,date,time,male_id,pixels_per_cm,total_copulation_min,total_pursuit_min,number_of_copulations,longest_copulation_min,longest_copulation_start_min,longest_copulation_end_min,copulation_events,number_of_females_copulated,females_copulated_ids,number_of_pursuits,longest_pursuit_min,longest_pursuit_start_min,longest_pursuit_end_min,setup
dataset_1,DGRP375,CamA,2026-01-12,08:31:36,4,160,29.73298535250772,38.02574355011574,2,15.976351166859567,93.73805,109.71416666666667,Female 2: 93.74-109.71min (15.98min); Female 5: 56.45-70.21min (13.76min),2,"2,5",215,2.9322152989197527,79.96471666666666,82.89666666666668,
dataset_1,DGRP375,CamA,2026-01-12,15:31:08,1,160,26.952158585030865,40.37046023618827,3,13.738023118479937,12.341666666666667,26.07945,Female 2: 57.98-71.16min (13.19min); Female 3: 55.96-55.99min (0.03min); Female 4: 12.34-26.08min (13.74min),3,"2,3,4",229,4.69082225775463,36.79611666666666,41.486666666666665,
dataset_1,DGRP375,CamA,2026-01-13,11:17:26,4,160,48.85377353942901,47.6896096214892,4,18.159679345100308,31.068050000000003,49.2275,Female 1: 0.00-2.27min (2.27min); Female 1: 58.62-72.72min (14.10min); Female 3: 31.07-49.23min (18.16min); Female 5: 7.70-22.02min (14.32min),3,"1,3,5",191,6.750261839621913,4.3086166666666665,11.058616666666667,
dataset_1,DGRP375,CamA,2026-01-15,10:52:24,2,160,0.0,30.861038244598767,0,0.0,,,,0,,267,3.0166595439814814,24.8325,27.848883333333333,
dataset_1,DGRP375,CamA,2026-01-15,16:01:15,3,160,29.887984986535496,71.91733019479167,3,15.56301880945216,22.90445,38.467216666666666,Female 1: 57.49-57.97min (0.48min); Female 5: 22.90-38.47min (15.56min); Female 6: 42.27-56.12min (13.85min),3,"1,5,6",311,21.825504022993826,37.38666666666666,59.21195,
dataset_1,DGRP375,CamB,2026-01-12,08:31:36,1,156,34.87713987322531,62.27679740165895,5,15.60940758881173,75.26666666666667,90.87583333333333,Female 2: 10.09-10.57min (0.49min); Female 2: 75.27-90.88min (15.61min); Female 4: 11.10-13.52min (2.42min); Female 5: 14.79-19.29min (4.50min); Female 5: 26.10-37.96min (11.86min),3,"2,4,5",221,9.286644739814815,50.81916666666667,60.10555,
dataset_1,DGRP375,CamB,2026-01-12,15:31:08,2,156,13.162191144753086,98.29504569170525,3,6.406651539814815,23.86195,30.26833333333333,Female 3: 20.48-23.86min (3.38min); Female 3: 30.27-33.65min (3.38min); Female 4: 23.86-30.27min (6.41min),2,"3,4",400,9.02414535960648,69.49861666666668,78.52250000000001,
dataset_1,DGRP375,CamB,2026-01-15,10:52:24,1,156,0.0,14.348299455324074,0,0.0,,,,0,,195,1.674996045138889,6.4347166666666675,8.10945,
dataset_1,DGRP375,CamB,2026-01-15,16:01:15,3,156,27.078824952623457,58.46319529490741,4,14.758576264390431,82.30471666666668,97.06305,Female 1: 97.40-97.40min (0.00min); Female 2: 17.15-29.46min (12.32min); Female 4: 82.30-82.30min (0.00min); Female 6: 82.30-97.06min (14.76min),4,"1,2,4,6",343,5.339709614544754,52.89971666666667,58.23916666666666,
dataset_1,DGRP774,CamA,2026-01-12,10:46:09,1,160,23.37522258614969,84.94868831512346,3,12.602470244097221,34.57666666666667,47.17888333333334,Female 4: 62.25-65.04min (2.79min); Female 5: 54.17-62.16min (7.98min); Female 6: 34.58-47.18min (12.60min),3,"4,5,6",488,2.961937450964506,53.63166666666667,56.593333333333334,
dataset_1,DGRP774,CamA,2026-01-13,08:12:08,3,160,24.099109765856483,58.92347198591821,5,10.814141133217593,59.119166666666665,69.93305000000001,Female 1: 15.62-23.81min (8.19min); Female 4: 13.84-15.43min (1.59min); Female 4: 34.93-35.82min (0.89min); Female 5: 59.12-69.93min (10.81min); Female 6: 32.32-34.93min (2.61min),4,"1,4,5,6",409,4.784155370717593,65.81083333333333,70.59471666666667,
dataset_1,DGRP774,CamA,2026-01-15,08:25:18,1,160,19.407731953858026,37.89907718252314,2,12.571359206442901,24.285283333333332,36.85638333333333,Female 5: 7.12-13.96min (6.84min); Female 6: 24.29-36.86min (12.57min),2,"5,6",432,1.649718327044753,44.48778333333333,46.13721666666667,
dataset_1,DGRP774,CamB,2026-01-12,10:46:09,6,156,11.073307187962962,40.72018163267747,3,8.14192522040895,22.01695,30.158616666666667,Female 1: 22.02-30.16min (8.14min); Female 3: 19.42-22.02min (2.60min); Female 5: 19.09-19.42min (0.33min),3,"1,3,5",499,3.408880840123457,27.029999999999998,30.438616666666668,
dataset_1,DGRP774,CamB,2026-01-13,08:12:08,4,156,24.93216335447531,51.0359906091821,5,9.851087851543209,48.45361666666667,58.304449999999996,Female 2: 39.05-41.40min (2.36min); Female 3: 48.45-58.30min (9.85min); Female 5: 21.59-27.97min (6.37min); Female 5: 37.51-39.05min (1.54min); Female 6: 41.65-46.46min (4.81min),4,"2,3,5,6",449,4.498322712268519,55.055283333333335,59.55333333333333,
dataset_1,DGRP774,CamB,2026-01-15,08:25:18,4,156,24.40994236527778,63.69707182600309,3,12.223304472685186,60.756949999999996,72.98,Female 3: 44.97-46.60min (1.63min); Female 5: 82.49-93.05min (10.56min); Female 6: 60.76-72.98min (12.22min),3,"3,5,6",548,3.50304728445216,89.39028333333334,92.89304999999999,
